score,source,target
67.43,/workshop-files//aircare 23nov2005.doc,/workshop-files//Sargent gallery.doc
67.88,/workshop-files//aircare 23nov2005.doc,/workshop-files//te papa 05.doc
68.56,/workshop-files//aircare 23nov2005.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
68.56,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Sargent gallery.doc
68.79,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Geographical Indications 04.DOC
69.70,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//Geographical Indications 04.DOC
69.93,/workshop-files//aircare 23nov2005.doc,/workshop-files//Bike regs.doc
71.30,/workshop-files//aircare 23nov2005.doc,/workshop-files//New NZSO CEO 8May02.doc
71.30,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
71.53,/workshop-files//aircare 24nov2005.doc,/workshop-files//Sargent gallery.doc
71.53,/workshop-files//aircare 24nov2005.doc,/workshop-files//Geographical Indications 04.DOC
71.75,/workshop-files//Bike regs.doc,/workshop-files//te papa 05.doc
71.98,/workshop-files//te papa 05.doc,/workshop-files//New NZSO CEO 8May02.doc
71.98,/workshop-files//Sargent gallery.doc,/workshop-files//Geographical Indications 04.DOC
72.21,/workshop-files//aircare 23nov2005.doc,/workshop-files//Sarjeant gallery.doc
72.67,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Arts Pasifika Awards 2007 .doc
72.89,/workshop-files//aircare 23nov2005.doc,/workshop-files//Geographical Indications 04.DOC
72.89,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Geographical Indications 04.DOC
73.35,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Sarjeant gallery.doc
73.80,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//te papa 05.doc
74.03,/workshop-files//aircare 23nov2005.doc,/workshop-files//Tui NZ music awards 10May02.doc
74.26,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Geographical Indications 04.DOC
74.72,/workshop-files//Bike regs.doc,/workshop-files//Geographical Indications 04.DOC
74.72,/workshop-files//aircare 24nov2005.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
74.94,/workshop-files//New NZSO CEO 8May02.doc,/workshop-files//Geographical Indications 04.DOC
76.08,/workshop-files//aircare 24nov2005.doc,/workshop-files//Sarjeant gallery.doc
76.54,/workshop-files//NZSafetyAwards15Aug.doc,/workshop-files//Geographical Indications 04.DOC
76.77,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//NZ music a hit in New Yorkl.doc
76.99,/workshop-files//Sarjeant gallery.doc,/workshop-files//Geographical Indications 04.DOC
77.68,/workshop-files//Bike regs.doc,/workshop-files//NZ music a hit in New Yorkl.doc
78.13,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//aircare 23nov2005.doc
78.13,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//New NZSO CEO 8May02.doc
78.36,/workshop-files//aircare 23nov2005.doc,/workshop-files//NZ music a hit in New Yorkl.doc
78.36,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//Geographical Indications 04.DOC
78.59,/workshop-files//aircare 24nov2005.doc,/workshop-files//New NZSO CEO 8May02.doc
79.95,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//te papa 05.doc
79.95,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//NZSafetyAwards15Aug.doc
80.87,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//NZ music a hit in New Yorkl.doc
80.87,/workshop-files//Bike regs.doc,/workshop-files//aircare 24nov2005.doc
81.32,/workshop-files//aircare 23nov2005.doc,/workshop-files//NZSafetyAwards15Aug.doc
81.32,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//aircare 24nov2005.doc
81.32,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//aircare 24nov2005.doc
82.23,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Tui NZ music awards 10May02.doc
83.14,/workshop-files//Suter Art Gallery .doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
83.14,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Waitangi day Atawhai opening.doc
83.37,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//aircare 24nov2005.doc
83.37,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Sargent gallery.doc
83.83,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//New NZSO CEO 8May02.doc
84.28,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Sargent gallery.doc
84.97,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
84.97,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
85.19,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//NZSafetyAwards15Aug.doc
85.19,/workshop-files//Bike regs.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
85.19,/workshop-files//Sargent gallery.doc,/workshop-files//NZSafetyAwards15Aug.doc
85.65,/workshop-files//Bike regs.doc,/workshop-files//Sargent gallery.doc
85.88,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Sarjeant gallery.doc
85.88,/workshop-files//aircare 24nov2005.doc,/workshop-files//NZSafetyAwards15Aug.doc
86.10,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//NZSafetyAwards15Aug.doc
86.56,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Sarjeant gallery.doc
86.79,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
87.24,/workshop-files//Bike regs.doc,/workshop-files//Sarjeant gallery.doc
87.24,/workshop-files//Sarjeant gallery.doc,/workshop-files//NZSafetyAwards15Aug.doc
87.47,/workshop-files//Bike regs.doc,/workshop-files//New NZSO CEO 8May02.doc
87.70,/workshop-files//New NZSO CEO 8May02.doc,/workshop-files//Sargent gallery.doc
87.70,/workshop-files//New NZSO CEO 8May02.doc,/workshop-files//NZSafetyAwards15Aug.doc
88.15,/workshop-files//Arts Pasifika Awards 2007 .doc,/workshop-files//Waitangi day Atawhai opening.doc
88.38,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Bike regs.doc
88.61,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
88.61,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//New NZSO CEO 8May02.doc
88.84,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Bike regs.doc
89.07,/workshop-files//Bike regs.doc,/workshop-files//NZSafetyAwards15Aug.doc
89.07,/workshop-files//New NZSO CEO 8May02.doc,/workshop-files//Sarjeant gallery.doc
90.21,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//Sarjeant gallery.doc
90.89,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//Sargent gallery.doc
91.12,/workshop-files//Suter Art Gallery .doc,/workshop-files//Arts Pasifika Awards 2007 .doc
92.26,/workshop-files//air nz future.doc,/workshop-files//supreme court.doc
92.48,/workshop-files//Suter Art Gallery .doc,/workshop-files//Waitangi day Atawhai opening.doc
92.48,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//Waitangi day Atawhai opening.doc
94.31,/workshop-files//zero tertiary fees.doc,/workshop-files//belgrave.doc
94.31,/workshop-files//zero tertiary fees.doc,/workshop-files//kiwisaver amendment.doc
94.53,/workshop-files//zero tertiary fees.doc,/workshop-files//dhb changes.doc
94.53,/workshop-files//zero tertiary fees.doc,/workshop-files//election date.doc
94.53,/workshop-files//Suter Art Gallery .doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
94.99,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//New NZSO CEO 8May02.doc
95.22,/workshop-files//zero tertiary fees.doc,/workshop-files//taiwan national day.doc
95.22,/workshop-files//zero tertiary fees.doc,/workshop-files//dhb changes draft.doc
95.90,/workshop-files//zero tertiary fees.doc,/workshop-files//stalactites.doc
95.90,/workshop-files//kiwisaver amendment.doc,/workshop-files//taiwan national day.doc
96.13,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Grey Power Manawatu 15 July.doc
96.58,/workshop-files//kiwisaver amendment.doc,/workshop-files//dhb changes.doc
96.58,/workshop-files//taiwan national day.doc,/workshop-files//dhb changes.doc
96.81,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc",/workshop-files//080507 - new prison welcomed.doc
96.81,/workshop-files//stalactites.doc,/workshop-files//dhb changes.doc
96.81,/workshop-files//dhb changes.doc,/workshop-files//election date.doc
97.04,/workshop-files//stalactites.doc,/workshop-files//taiwan national day.doc
97.04,/workshop-files//taiwan national day.doc,/workshop-files//election date.doc
97.27,/workshop-files//belgrave.doc,/workshop-files//kiwisaver amendment.doc
97.27,/workshop-files//kiwisaver amendment.doc,/workshop-files//dhb changes draft.doc
97.95,/workshop-files//belgrave.doc,/workshop-files//dhb changes.doc
97.95,/workshop-files//belgrave.doc,/workshop-files//election date.doc
98.18,/workshop-files//belgrave.doc,/workshop-files//dhb changes draft.doc
98.18,/workshop-files//taiwan national day.doc,/workshop-files//dhb changes draft.doc
98.41,/workshop-files//belgrave.doc,/workshop-files//stalactites.doc
98.41,/workshop-files//kiwisaver amendment.doc,/workshop-files//election date.doc
98.41,/workshop-files//dhb changes draft.doc,/workshop-files//election date.doc
98.63,/workshop-files//belgrave.doc,/workshop-files//taiwan national day.doc
98.63,/workshop-files//stalactites.doc,/workshop-files//election date.doc
98.86,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//NZSafetyAwards15Aug.doc
98.86,/workshop-files//stalactites.doc,/workshop-files//dhb changes draft.doc
99.32,/workshop-files//aircare 23nov2005.doc,/workshop-files//aircare 24nov2005.doc
99.32,/workshop-files//stalactites.doc,/workshop-files//kiwisaver amendment.doc
99.32,/workshop-files//Sargent gallery.doc,/workshop-files//Sarjeant gallery.doc
99.32,/workshop-files//dhb changes.doc,/workshop-files//dhb changes draft.doc
99.77,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//NZ Music Month quiz answers 2006.doc
100.00,/workshop-files//key reaction.doc,/workshop-files//mccarthyism.doc
