score,source,target
7.52,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//dhb changes.doc
7.52,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//dhb changes.doc
7.52,/workshop-files//te papa 05.doc,/workshop-files//dhb changes.doc
7.52,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//kiwisaver amendment.doc
7.52,/workshop-files//Arts Pasifika Awards 2007 .doc,/workshop-files//dhb changes draft.doc
7.74,/workshop-files//aircare 24nov2005.doc,/workshop-files//stalactites.doc
7.74,/workshop-files//Arts Pasifika Awards 2007 .doc,/workshop-files//taiwan national day.doc
7.97,/workshop-files//aircare 24nov2005.doc,/workshop-files//kiwisaver amendment.doc
7.97,/workshop-files//aircare 24nov2005.doc,/workshop-files//election date.doc
7.97,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//key reaction.doc
7.97,/workshop-files//NZSafetyAwards15Aug.doc,/workshop-files//taiwan national day.doc
8.20,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//stalactites.doc
8.43,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//Otago Heritage Seminar 10Oct02.doc
8.66,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//Grey Power Manawatu 15 July.doc
8.66,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
8.88,/workshop-files//aircare 24nov2005.doc,/workshop-files//dhb changes draft.doc
9.11,/workshop-files//belgrave.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
9.11,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//key reaction.doc
9.11,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc",/workshop-files//mccarthyism.doc
9.34,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//election date.doc
9.34,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//dhb changes draft.doc
9.34,/workshop-files//mccarthyism.doc,/workshop-files//080507 - new prison welcomed.doc
9.57,/workshop-files//Suter Art Gallery .doc,/workshop-files//election date.doc
9.79,/workshop-files//belgrave.doc,/workshop-files//aircare 24nov2005.doc
10.02,/workshop-files//zero tertiary fees.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
10.02,/workshop-files//Suter Art Gallery .doc,/workshop-files//kiwisaver amendment.doc
