score,source,target
32,workshop-files/Otago Heritage Seminar 10Oct02.doc,workshop-files/te papa 05.doc
82,workshop-files/Sargent gallery.doc,workshop-files/Sarjeant gallery.doc
65,workshop-files/Sargent gallery.doc,workshop-files/Tui NZ music awards 10May02.doc
61,workshop-files/Sargent gallery.doc,workshop-files/te papa 05.doc
63,workshop-files/Sarjeant gallery.doc,workshop-files/Tui NZ music awards 10May02.doc
60,workshop-files/Sarjeant gallery.doc,workshop-files/te papa 05.doc
93,workshop-files/Speech notes - Fishermen's Daughters 2008.doc,workshop-files/Suter Art Gallery .doc
93,workshop-files/Speech notes - Fishermen's Daughters 2008.doc,workshop-files/Waitangi day Atawhai opening.doc
93,workshop-files/Suter Art Gallery .doc,workshop-files/Waitangi day Atawhai opening.doc
60,workshop-files/Tui NZ music awards 10May02.doc,workshop-files/te papa 05.doc
36,workshop-files/air nz future.doc,workshop-files/supreme court.doc
82,workshop-files/aircare 23nov2005.doc,workshop-files/aircare 24nov2005.doc
99,workshop-files/belgrave.doc,workshop-files/dhb changes draft.doc
97,workshop-files/belgrave.doc,workshop-files/dhb changes.doc
99,workshop-files/belgrave.doc,workshop-files/election date.doc
100,workshop-files/belgrave.doc,workshop-files/kiwisaver amendment.doc
99,workshop-files/belgrave.doc,workshop-files/stalactites.doc
97,workshop-files/belgrave.doc,workshop-files/taiwan national day.doc
96,workshop-files/belgrave.doc,workshop-files/zero tertiary fees.doc
97,workshop-files/dhb changes draft.doc,workshop-files/dhb changes.doc
99,workshop-files/dhb changes draft.doc,workshop-files/election date.doc
97,workshop-files/dhb changes draft.doc,workshop-files/kiwisaver amendment.doc
99,workshop-files/dhb changes draft.doc,workshop-files/stalactites.doc
100,workshop-files/dhb changes draft.doc,workshop-files/taiwan national day.doc
96,workshop-files/dhb changes draft.doc,workshop-files/zero tertiary fees.doc
97,workshop-files/dhb changes.doc,workshop-files/election date.doc
97,workshop-files/dhb changes.doc,workshop-files/kiwisaver amendment.doc
97,workshop-files/dhb changes.doc,workshop-files/stalactites.doc
97,workshop-files/dhb changes.doc,workshop-files/taiwan national day.doc
100,workshop-files/dhb changes.doc,workshop-files/zero tertiary fees.doc
97,workshop-files/election date.doc,workshop-files/kiwisaver amendment.doc
100,workshop-files/election date.doc,workshop-files/stalactites.doc
97,workshop-files/election date.doc,workshop-files/taiwan national day.doc
96,workshop-files/election date.doc,workshop-files/zero tertiary fees.doc
99,workshop-files/key reaction.doc,workshop-files/mccarthyism.doc
97,workshop-files/kiwisaver amendment.doc,workshop-files/stalactites.doc
97,workshop-files/kiwisaver amendment.doc,workshop-files/taiwan national day.doc
96,workshop-files/kiwisaver amendment.doc,workshop-files/zero tertiary fees.doc
97,workshop-files/stalactites.doc,workshop-files/taiwan national day.doc
96,workshop-files/stalactites.doc,workshop-files/zero tertiary fees.doc
96,workshop-files/taiwan national day.doc,workshop-files/zero tertiary fees.doc
