score,source,target
470,/workshop-files//zero tertiary fees.doc,/workshop-files//Sarjeant gallery.doc
446,/workshop-files//zero tertiary fees.doc,/workshop-files//NZSafetyAwards15Aug.doc
440,/workshop-files//zero tertiary fees.doc,/workshop-files//supreme court.doc
449,/workshop-files//zero tertiary fees.doc,/workshop-files//080507 - new prison welcomed.doc
36,/workshop-files//zero tertiary fees.doc,/workshop-files//kiwisaver amendment.doc
380,/workshop-files//zero tertiary fees.doc,/workshop-files//Geographical Indications 04.DOC
32,/workshop-files//zero tertiary fees.doc,/workshop-files//taiwan national day.doc
214,/workshop-files//zero tertiary fees.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
35,/workshop-files//zero tertiary fees.doc,/workshop-files//dhb changes.doc
32,/workshop-files//zero tertiary fees.doc,/workshop-files//dhb changes draft.doc
35,/workshop-files//zero tertiary fees.doc,/workshop-files//election date.doc
509,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//aircare 23nov2005.doc
552,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Tui NZ music awards 10May02.doc
539,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Bike regs.doc
526,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//NZ music a hit in New Yorkl.doc
280,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Suter Art Gallery .doc
280,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
261,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//belgrave.doc
220,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
425,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
28,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Grey Power Manawatu 15 July.doc
516,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//aircare 24nov2005.doc
528,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//te papa 05.doc
276,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
532,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
546,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//air nz future.doc
328,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
265,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//stalactites.doc
311,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//key reaction.doc
300,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
551,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//New NZSO CEO 8May02.doc
531,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Sargent gallery.doc
252,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Waitangi day Atawhai opening.doc
324,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//mccarthyism.doc
530,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Sarjeant gallery.doc
516,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//NZSafetyAwards15Aug.doc
539,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//supreme court.doc
323,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//080507 - new prison welcomed.doc
272,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//kiwisaver amendment.doc
450,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Geographical Indications 04.DOC
257,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//taiwan national day.doc
218,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
250,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//dhb changes.doc
261,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//dhb changes draft.doc
265,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//election date.doc
125,/workshop-files//aircare 23nov2005.doc,/workshop-files//Tui NZ music awards 10May02.doc
143,/workshop-files//aircare 23nov2005.doc,/workshop-files//Bike regs.doc
106,/workshop-files//aircare 23nov2005.doc,/workshop-files//NZ music a hit in New Yorkl.doc
